distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500000,A*,22.7596,0.001674,82,True,23.8489
10-50,50,500000,Dijkstra,22.7596,0.211805,16008,True,23.8489
10-50,50,500000,Breadth-First,22.7596,0.067727,9939,True,24.4846
10-50,50,500000,Theta*,22.7596,0.001218,18,True,22.8191
10-50,50,500001,A*,18.5472,0.000748,32,True,20.2925
10-50,50,500001,Dijkstra,18.5472,0.148467,14082,True,20.2925
10-50,50,500001,Breadth-First,18.5472,0.10112,15620,True,21.0246
10-50,50,500001,Theta*,18.5472,0.009321,25,True,18.9071
10-50,50,500002,A*,28.3725,0.004044,223,True,30.8557
10-50,50,500002,Dijkstra,28.3725,0.644425,57521,True,30.8557
10-50,50,500002,Breadth-First,28.3725,0.203685,30599,True,30.9521
10-50,50,500002,Theta*,28.3725,0.011499,98,True,29.0024
10-50,50,500003,A*,34.9285,0.001939,87,True,37.3137
10-50,50,500003,Dijkstra,34.9285,0.725419,63283,True,37.3137
10-50,50,500003,Breadth-First,34.9285,0.509223,73814,True,39.6062
10-50,50,500003,Theta*,34.9285,0.027284,35,True,35.2982
10-50,50,500004,A*,37.8682,0.004439,239,True,41.8591
10-50,50,500004,Dijkstra,37.8682,0.910548,61880,True,41.8591
10-50,50,500004,Breadth-First,37.8682,0.272401,40361,True,42.341
10-50,50,500004,Theta*,37.8682,0.01185,48,True,38.6325
10-50,50,500005,A*,14.5945,0.000697,25,True,15.5386
10-50,50,500005,Dijkstra,14.5945,0.123499,10672,True,15.5386
10-50,50,500005,Breadth-First,14.5945,0.048725,7137,True,15.5386
10-50,50,500005,Theta*,14.5945,0.009109,11,True,14.5945
10-50,50,500006,A*,23.622,0.003103,201,True,26.7313
10-50,50,500006,Dijkstra,23.622,0.442163,39193,True,26.7313
10-50,50,500006,Breadth-First,23.622,0.247555,36658,True,27.5597
10-50,50,500006,Theta*,23.622,0.009577,23,True,24.329
10-50,50,500007,A*,14.4914,0.000974,47,True,15.9029
10-50,50,500007,Dijkstra,14.4914,0.132762,10566,True,15.9029
10-50,50,500007,Breadth-First,14.4914,0.061476,8482,True,15.9029
10-50,50,500007,Theta*,14.4914,0.009155,12,True,14.4914
10-50,50,500008,A*,13.3791,0.005926,309,True,18.3171
10-50,50,500008,Dijkstra,13.3791,0.14297,9441,True,18.3171
10-50,50,500008,Breadth-First,13.3791,0.053435,7243,True,19.1455
10-50,50,500008,Theta*,13.3791,0.014373,178,True,17.2999
10-50,50,500009,A*,17.1464,0.001117,45,True,18.7313
10-50,50,500009,Dijkstra,17.1464,0.128442,10169,True,18.7313
10-50,50,500009,Breadth-First,17.1464,0.06393,6726,True,18.7313
10-50,50,500009,Theta*,17.1464,0.009768,14,True,17.3066
10-50,50,500010,A*,22.9347,0.002256,104,True,25.3636
10-50,50,500010,Dijkstra,22.9347,0.475729,41756,True,25.3636
10-50,50,500010,Breadth-First,22.9347,0.29208,42693,True,25.3636
10-50,50,500010,Theta*,22.9347,0.009674,22,True,23.0227
10-50,50,500011,A*,33.8526,0.053988,4649,True,41.6055
10-50,50,500011,Dijkstra,33.8526,0.706995,66779,True,41.6055
10-50,50,500011,Breadth-First,33.8526,0.320513,48481,True,44.8262
10-50,50,500011,Theta*,33.8526,0.083373,2430,True,39.8134
10-50,50,500012,A*,45.3872,0.004762,272,True,48.2337
10-50,50,500012,Dijkstra,45.3872,1.38888,105130,True,48.2337
10-50,50,500012,Breadth-First,45.3872,0.601714,87562,True,54.8795
10-50,50,500012,Theta*,45.3872,0.023802,375,True,46.9022
10-50,50,500013,A*,19.4165,0.001558,65,True,21.0027
10-50,50,500013,Dijkstra,19.4165,0.335376,25949,True,21.0027
10-50,50,500013,Breadth-First,19.4165,0.113631,16361,True,21.0027
10-50,50,500013,Theta*,19.4165,0.008968,15,True,19.5489
10-50,50,500014,A*,33.6155,0.002373,131,True,38.7374
10-50,50,500014,Dijkstra,33.6155,0.378154,34442,True,38.7374
10-50,50,500014,Breadth-First,33.6155,0.113156,17189,True,38.9301
10-50,50,500014,Theta*,33.6155,0.010701,44,True,37.3369
10-50,50,500015,A*,20.1494,0.03446,2909,True,30.3882
10-50,50,500015,Dijkstra,20.1494,0.709251,48967,True,30.3882
10-50,50,500015,Breadth-First,20.1494,0.267271,39758,True,31.0239
10-50,50,500015,Theta*,20.1494,0.075302,1934,True,28.5836
10-50,50,500016,A*,14.4568,0.002027,112,True,16.121
10-50,50,500016,Dijkstra,14.4568,0.094912,8512,True,16.121
10-50,50,500016,Breadth-First,14.4568,0.056016,8369,True,16.121
10-50,50,500016,Theta*,14.4568,0.008851,14,True,14.4568
10-50,50,500017,A*,13.4536,0.009493,844,True,23.8277
10-50,50,500017,Dijkstra,13.4536,0.14533,12825,True,23.8277
